CHARACTER	DIALOGUE
CASSIOPEIA	I won't be long-winded. You all know I am a modest person, no matter my rank. Some of the crowd react silently. Andromeda watches her watching from his throne. This is not a celebration of a betrothal... not the celebration of the happiness of two parents, or of our good people. Mild confusion in the hall, concern from the Royal Entourage.
CASSIOPEIA	This union represents new hope for a lasting peace! That is the only cause for celebration. The crowd reacts with exclamations and applause. Amoun My sweet Andromeda... grown into a fine young woman, confident and sure. Look at her! Isn't she beautiful? Her subjects agree loudly. Andromeda wishes this would
CASSIOPEIA	To my beautiful daughter... more beautiful than all the women of Joppa. More beautiful than the Gardens of Nineveh... Kepheus is about to pull her away. She throws him a
CASSIOPEIA	More beautiful than the turquoise ocean and its sublime Goddess of the Deep... Tiamat herself! My daughter is a beauty even a Goddess must envy. Amoun reacts in dismay. A distressed MURMUR roils the
CASSIOPEIA	I've gone on too long -- She stops with a look of sudden dread. The Great Hall TIAMAT, QUEEN OF THE DEEP, floats forward, parting the
TIAMAT	You have blasphemed powers beyond understanding... You, a stupid braying goat before the unfathomable galaxies. You dare put this frivolous, scrawny slut... above the infinite Goddess of the Deep! Tiamat tears off her cloak and STANDS NAKED. Her body, Fantasos, the priest who proselytizes for Tiamat in the religious ecstasy and outright lust. The celebrants shield their eyes, but Cassiopeia can't. her frame --
TIAMAT	Look upon the sublime and know your error. You'll not blink. Tell me now, mortal, how bright your preening urchin shines? No one dare look long at the Goddess. No one but
TIAMAT	People of Joppa, hear me. For the sacrilege of this arrogant creature, I will loose Leviathan upon you. The people react in terror. Cassiopeia starts to faint,
TIAMAT	I'm not finished. Hold your gaze. For thirty days, Joppa shall suffer the scorn of Leviathan. And on the final day, you will be wiped from the earth. Unless... Instant silence.
TIAMAT	unless you sacrifice that body so impertinently compared to this -- your beloved, worthless Princessa. Andromeda GASPS. Shock everywhere.
TIAMAT	This is my will, Joppa. Desolation or sacrifice. Choose your penance. You can thank your... . sickly, aged Queen. Clouds of black sea ink swirl and swallow Tiamat, then withered, collapses. Kepheus and Royal Aides rush to like, but it is big. We hear a deafening ROAR, which A lone FISHERMAN unloads nets from his boat. Suddenly, The fisherman is mesmerized as the horizon CLIMBS higher
KEPHEUS	Leviathan awakes...
AMOUN (O.S.)	. Leviathan -- First dweller of the deep. Hewn by Tiamat from the dark blood of the earth...
HER POV	A council of VICEROYS and MINISTERS gathered before Kepheus, who seems lost in thought, head down. Perseus
AMOUN	. All monsters of the sea are but shadows of Leviathan the Kraken -- colossal, rapacious, and nigh indestructible. The men turn to Kepheus; when he raises his face, he
KEPHEUS	My Queen lies near death. Am I now to choose between the survival of our state... and the life of Andromeda, my only child? Amoun watches Perseus, at the fringe of the group, expectantly. But Perseus looks only perplexed, an observer.
MINISTER OF DEFENSE	I beg you, do not even consider such a sacrifice -- Do you tell me only what you think I wish to hear!
KEPHEUS (CONT'D)	The citizens of Joppa are fighting for their lives. Would you have me gamble the city to save one girl? Again, Amoun looks to Perseus.
