CHARACTER	DIALOGUE
MASON	I see. Bloody prison censors.
JADE	How about explaining now? around.
MASON	Maybe this isn't the best time... Jade. Here sitdown.
MASON	All will be explained. You must trust me on this. Someday very soon, after I get a few things settled, I will come back for you. What I need to know is: do you want me in your life?
JADE	How can I answer that? I don't know if we can.... after 19 years, just start like that.
MASON	We are the same blood.
JADE	But I don't know you.
MASON	where to begin. My name is John Paul Mason. I'm Scottish. I attended Dartmouth Naval College. My favorite color is green. I like books. I like a good joke. At one time I shot a pretty fair round Maybe it's better I go.
JADE	No. You're doing okay.
JADE	You lied to me.
GOODSPEED	F.B.I. miss. Your father is working with us. He's helping us resolve a.... .... dangerous situation.
JADE	He is?
GOODSPEED	Yes madam. We've got to go, John.
MASON	Jade - remember what I said.
GOODSPEED	No cuffs until we get to the cars,
MASON	You surprise me, Goodspeed. Now I'm going to surprise myself: thank-you, you could have handled that differently.
GOODSPEED	You almost got me killed. Twice.
MASON	Hows your jaw?
GOODSPEED	It hurts.
F.B.I. DIRECTOR WOMACK	You cocksucker you dislocated my shoulder and cost the city of San Francisco ten million dollars. You try to escape
MASON	Pleased to meet you. at the head of the table 122 in of a SCALE MODEL OF ALCATRAZ. COMMANDER ANDERSON and ten NAVY
COMMANDER ANDERSON	Okay, one more time: down this second fork fifty-seven paces to a septic chamber. Turn left at the water pump,
MASON	No. Forty-two paces to the septic chamber. Fifty-seven to the
COMMANDER ANDERSON	That's not what you said three minutes ago.
MASON	It's not?
COMMANDER ANDERSON	Excuse me. Womack.
COMMANDER ANDERSON	I ask for someone with knowledge of the island's tunnels. you give me a fuckin, convict who wants to play "twenty questions."
F.B.I. DIRECTOR WOMACK	He knows every inch of those tunnels, Commander.
COMMANDER ANDERSON	Then he's keeping it to himself. He's fucking with me and I don't have the time.
F.B.I. DIRECTOR WOMACK	What if he went with you?
COMMANDER ANDERSON	Out of the question. He'll endanger the mission - he'll endanger my men. He's a security risk. Who says he won't bolt as
F.B.I. DIRECTOR WOMACK	I'll handle that. Chaney.
F.B.I. DIRECTOR WOMACK	You're not cooperating, John. Maybe this will help. I'm sure you're curious about what's happening on Alcatraz. Twelve United States Marines - a terrorist rogue force - have Yes, John, including your daughter.
MASON	You son-of-fucking-Satan.
F.B.I. DIRECTOA WOMACK	Mr. MASON has a strong incentive to help us, Commander Anderson.
F.B.I. DIRECTOR WOMACK	Get him some gear. He's going to the Rock. Goodspeed! up from a computer screen generating images of different angles of a V.X. ROCKET. He walks over to the
COMMANDER ANDERSON	The goal is to take out the launchers and neutralize the V.X.chem rounds, Goodspeed. Tell us what you know.
GOODSPEED	Well, the thermal imaging photos picked up the poison gas. Here. The prison morgue. It's probably being kept refrigerated. makes sense. V.X. gas begins to lose its toxicity at higher temperatures.
COMMANDER ANDERSON	Have you ever actually seen one of these devices?
GOODSPEED	No sir, but I've studied them ....
COMMANDER ANDERSON	That's great, Goodspeed. You're in the Bureau, so you've had weapons training.
GOODSPEED	A little, sir.
COMMANDER ANDERSON	So you've never been in a combat situation.
GOODSPEED	No sir. Should I begin the briefing on diffusing and detoxification sir?
COMMANDER ANDERSON	Won't be necessary.
GOODSPEED	Sir, these are very complicated devices...
COMMANDER ANDERSON	I know they are, Goodspeed. That's why you're going with us.
GOODSPEED	Sir?
COMMANDER ANDERSON	Get him some gear.
MASON	Wait just a minute. This little twat's going to deal with the poison? He's gonna get us all fuckin' killed!
S.E.A.L. DANDO	Nice to meet you too.
SANCHEZ	You look like shit.
GOODSPEED	Thank you.
SANCHEZ	You're not wimping out on us, Goodspeed.
GOODSPEED	I join the F.B.I. I ask for fieldwork. They say, "Bill, you're too fucking smart for field work." Every year I put in for a transfer and every year I sit in that goddamn lab like the fucking Maytag repairman in the commercial. Then the call finally comes, and
SANCHEZ	Chemical Weapons isn't a cakewalk, Goodspeed.
GOODSPEED	I've got some bad news and some really bad news sir. Maybe the bad news isn't bad, maybe actually it's good ....
SANCHEZ	Spit it out.
GOODSPEED	My girlfriend's pregnant.
SANCHEZ	What's the really bad news.
SANCHEZ	Goodspeed, GODDAMN IT ...
SANCHEZ	Agent Cord, get over to the Pan Pacific Hotel and bring Goodspeed's girlfriend to this facility please!!
CAPTAIN DARROW	Seventeen hours left. What the fuck is he doing? How much time does it take to transfer money from one account
CAPTAIN FRYE	Just a matter of time, buddy. The Pentagonlll cave and we'll be headin, south of the border a million dollars richer.
HUMMEL	Hummel.
SECURITY ADVISOR LOUIS LINDSTROM	Hello Frank, Lou Lindstrom. I'm in the oval office with General Kramer.
GENERAL KRAMER	We're having some problems with the account transfer, Frank.
HUMMEL	Don't tell me your problems, tell me your solutions.
GENERAL KRAMER	We've spoken to the President. He's not too happy about this.
HUMMEL	Well he'd better give me a goddamn assurance ...
HAYDEN SINCLAIR	The only thing the President will give you is a fair trial after you're caught, General.
HUMMEL	That you, Sinclair? What exactly do you do at the White House? Answer the presidential phone? Wash the presidential limousine?
HAYDEN SINCLAIR	Now you give me some coddamn respect, General ....
HUMMEL	You want respect, you child, you coffee server? Let's talk about Dave Ridgeway.
GENERAL KRAMER	Who's Dave Ridgeway, Frank?
HUMMEL	A twenty-two year old marine tortured to death by a communist he got.
LOUIS LINDSTROM	This is going nowhere Frank .... Then let me tell you what is: The most lethal poison gas known to man into San Franciscols business district. You have twelve hours to What's the word from Mojave?
GENERAL KRAMER	General Petersen can give us no definite assurance on the Willy Peter capability.
