CHARACTER	DIALOGUE
ELIZABETH	What do you know of the Enterprise of England, Ambassador?
DON GUERAU	The Enterprise...? Forgive me, your majesty...
ELIZABETH	It's a plan for the invasion of my country. Two armies landing on the coasts of Sussex and -
WALSINGHAM	Norfolk.
ELIZABETH	And Norfolk. Mary Stuart is to be set free, and placed on the English throne. I am to be assassinated. Does any of this sound familiar?
DON GUERAU	I know nothing of any invasion plans.
ELIZABETH	I refer to this plan as the Enterprise of England. It should more accurately be called `la Empresa di Inglaterra', because it's a Spanish plan. The plan of your king, my one-time brother-in- law, Philip II, to attack my country.
ON GUERAU	Attack? It is my country that is under attack! Your so-called pirates attack our merchant ships daily! Do you think we don't know where their orders come from? The whole world knows that pirates sail up the Thames all the way to the royal bed!
ELIZABETH	You will leave my presence, sir! Go back to Spain! Tell Philip that I don't fear him, or his priests, or his armies. Tell him if he wants to shake his little fist at us, we're ready to give him such a bite he'll wish he'd kept his hands in his pockets.
DON GUERAU	You see a leaf fall, and you think you know which way the wind blows. But a wind is coming, madam, that will sweep away your pride. e bows and turns to go. Elizabeth's words blaze after him.
ELIZABETH	I too can command the wind, sir. I have a hurricane in me that will strip Spain bare, if you dare to try me!
ELIZABETH	What are you staring at? Lower your eyes! I am the Queen! Immense stacks of cut timber as far as the eye can see. T his is what the forests were felled for: a brand-new fleet
SPANISH MINISTER	lost the advantage of surprise. A large part of our plans has come
PHILIP	
SPANISH MINISTER	
PHILIP	
PHILIP	working. No one is to stop for me. The fleet must be ready to
SPANISH MINISTER	
PHILIP	May 1 Blue Draft 28 June - p. 56
SPANISH MINISTER	
