film_title,bechdel_test,male_rating,male_num_reviews,female_rating,female_num_reviews,majority_reviewer_gender,gender_who_preferred,large_diff
Pasadena,pass,3.7,69,5.4,21,male,female,TRUE
Peeples,pass,4.8,1730,5.4,651,male,female,TRUE
Percy Jackson: Sea of Monsters,pass,5.7,32040,6.6,13243,male,female,TRUE
Perfect Mothers,fail,6,6523,6.7,4297,male,female,TRUE
Philomena,pass,7.7,19013,7.9,7751,male,female,FALSE
The Physician,fail,7.3,2386,7.5,575,male,female,FALSE
Planes,fail,5.6,14620,5.9,3246,male,female,TRUE
Pozitia copilului,pass,7.6,2500,7.9,885,male,female,TRUE
Prince Avalanche,fail,6.4,7097,6.3,1385,male,male,FALSE
Prisoners,pass,8.1,137620,8,29525,male,male,FALSE
Puella Magi Madoka Magica the Movie Part III: The Rebellion Story,pass,7.8,154,7.4,45,male,male,TRUE
The Purge,pass,5.5,48061,5.8,12977,male,female,FALSE
R.I.P.D.,fail,5.6,41918,5.8,8427,male,female,FALSE
The Railway Man,fail,7.2,1458,7.4,614,male,female,FALSE
Red 2,pass,6.6,56526,7,10650,male,female,TRUE
Riddick,fail,6.4,61426,6.3,8118,male,male,FALSE
Riley Rewind,pass,7.8,2062,8.7,601,male,female,TRUE
Runner Runner,fail,5.6,24106,5.6,4888,male,equal,FALSE
Rush,fail,8.3,111385,8.3,18562,male,equal,FALSE
RWBY,pass,8.2,343,8.1,64,male,male,FALSE
Safe Haven,pass,6.3,18195,7,18998,equal,female,TRUE
Saige Paints the Sky,pass,5.9,53,6.2,57,equal,female,FALSE
Saving Mr Banks,pass,7.6,29978,7.9,13107,male,female,TRUE
Saving Mr. Banks,pass,7.6,29978,7.9,13107,male,female,TRUE
The Secret Life of Walter Mitty,pass,7.4,64343,7.6,17365,male,female,FALSE
Sharknado,pass,3.3,12143,3.5,2440,male,female,FALSE
Sharknado,pass,3.3,12143,3.5,2440,male,female,FALSE
Short Term 12,pass,8,10986,8.2,2712,male,female,FALSE
Side Effects,pass,7.1,71474,7.1,24237,male,equal,FALSE
The Sisters Plotz,pass,5,3,6.8,5,female,female,TRUE
Skinwalker Ranch,fail,5,1156,5.1,222,male,female,FALSE
The Smurfs 2,pass,5.2,11035,5.9,3695,male,female,TRUE
Snowpiercer,pass,7.2,15184,7.2,2564,male,equal,FALSE
Some Girl(s),fail,4.7,782,4.6,612,male,male,FALSE
Soshite chichi ni naru (Like Father Like Son),pass,7.9,1874,7.9,683,male,equal,FALSE
Star Trek Into Darkness,fail,7.8,198545,8.2,41991,male,female,TRUE
The Starving Games,pass,3.1,4744,3.6,1194,male,female,TRUE
Still Life,fail,7.5,276,7.8,96,male,female,FALSE
Stoker,pass,6.9,38841,7,15312,male,female,FALSE
Summer League,pass,6.7,44,5,11,male,male,TRUE
Sunshine on Leith,pass,6.5,1024,7.1,437,male,female,TRUE
Suzanne,pass,6.9,193,7.2,67,male,female,FALSE
Texas Chainsaw 3D,pass,4.8,18724,4.9,3639,male,female,FALSE
Thanks for Sharing,fail,6.4,5134,6.4,2470,male,equal,FALSE
This Is the End,fail,6.9,139847,6.8,32353,male,male,FALSE
Thor: The Dark World,pass,7.2,137629,7.7,36376,male,female,TRUE
The To Do List,pass,5.7,9541,6,4761,male,female,FALSE
Trance,fail,7,47724,7.1,9797,male,female,FALSE
Turbo,pass,6.4,24999,6.7,6105,male,female,FALSE
UMMAH - Unter Freunden,fail,6.6,65,6.8,18,male,female,FALSE
UMMAH - Unter Freunden,fail,6.6,65,6.8,18,male,female,FALSE
V/H/S/2,pass,6.2,11153,5.8,1844,male,male,TRUE
Vai que da Certo,fail,5.9,478,5.8,76,male,male,FALSE
Vi ar bast!,pass,6.9,673,7.2,258,male,female,FALSE
Viva la liberta,fail,7,713,7.3,164,male,female,FALSE
Vivir es facil con los ojos cerrados,fail,6.9,387,7.3,114,male,female,TRUE
Wadjda,pass,7.6,4024,7.9,1360,male,female,TRUE
Warm Bodies,fail,6.9,77786,7.3,37497,male,female,TRUE
The Way Way Back,pass,7.4,44677,7.5,13287,male,female,FALSE
We Are What We Are,pass,5.8,4578,5.5,1708,male,male,FALSE
We're the Millers,pass,7,116902,7.3,38530,male,female,FALSE
Welcome to the Punch,fail,6.1,14264,6.2,2117,male,female,FALSE
