film_title,male_rating,female_rating
Conan the Barbarian,5.2,5.4
Contagion,6.7,6.6
Coriolanus,6.1,6.4
Coup declat,5.5,5.7
Courageous,6.6,7.8
Cowboys & Aliens,6.1,6.1
The Craiglist Killer,5.1,5.6
Crazy Stupid Love.,7.4,7.6
Cyberbully,5.3,6.8
Damsels in Distress,5.9,5.4
The Darkest Hour,4.9,5
The Dead Inside,5.8,5.7
The Decoy Bride,5.7,6.5
The Deep Blue Sea,6.2,6.3
The Descendants,7.4,7.2
Detention,5.7,5.9
Deus Ex Human Revolution,8.8,6.9
Diary of a Wimpy Kid: Rodrick Rules,6.5,7
The Divide,5.8,5.8
Dolphin Tale,6.7,7.4
Donovan's Echo,6.1,6.3
The Double,5.9,6.1
Dream House,5.9,6.1
Drive,7.9,7.7
The Eagle,6.2,6.4
Eva,6.6,6.7
Exit Humanity,5.4,5.3
Extremely Loud & Incredibly Close,6.8,7.4
Faces in the Crowd,5.6,6.1
Familiar Grounds,6.5,5.8
Fast Five,7.3,7.6
Final Destination 5,5.8,5.9
Fjellet,5.4,6.8
Flypaper,6.4,6.5
Footloose,5.5,6.2
Footnote,7,7.1
The Forgiveness of Blood,6.8,6.9
Found Memories (Historias que so existem quando lembradas),7.2,7.5
Free Men,6.6,6.6
French Immersion,5.2,6
Friends with Benefits,6.5,6.8
Friends with Kids,6.1,6.4
Fright Night,6.4,6.4
From Prada to Nada,5.1,5.7
From Up on Poppy Hill,7.3,7.6
The Future,6.1,6.2
Ghost Rider: Spirit of Vengeance,4.3,4.6
The Girl with the Dragon Tattoo,7.9,7.9
Gnomeo & Juliet,5.8,6.3
The Good Doctor,5.5,5.7
The Green Hornet,5.9,5.8
Green Lantern,5.7,5.8
The Guard,7.3,7.3
Hall Pass,6,5.6
The Hangover Part 2,6.5,6.5
Hanna,6.8,6.9
Hara-Kiri: Death of a Samurai,7.3,7.4
Harry Potter and the Deathly Hallows: Part 2,8,8.6
Hasta la Vista,7.3,7.6
Haywire,5.9,5.5
Headhunters,7.6,7.5
Hell,5.9,5.9
The Help,7.9,8.4
Hesher,7.1,7.1
Hick,5.6,6
Higher Ground,6.2,6.7
Himizu,7.1,7.5
Hobo with a Shotgun,6.1,6
Hoodwinked Too! Hood vs. Evil,4.8,5
Hop,5.3,6
Horrible Bosses,6.9,6.8
Hugo,7.6,7.7
The Human Centipede II (Full Sequence),4,3.7
Hysteria,6.6,6.9
I Am Nasrine,6.6,8.4
I Am Number Four,6.1,6.5
Ides Of March,7.2,7.1
Immortals,6,6.3
In Time,6.6,6.8
The Inbetweeners Movie,6.8,6.8
The Innkeepers,5.6,4.9
Inventory,4.9,6
Iris,5.6,6.5
The Iron Lady,6.3,6.8
Jack and Jill,3.3,4.2
Jackpot (Arme Riddere),6.6,6.7
Jamie and Jessie Are Not Together,5.6,5.1
Jane Eyre,7.2,7.6
Jeff Who Lives at Home,6.5,6.4
Jin ling shi san chai,7.6,7.9
Jiro Dreams of Sushi,7.9,7.9
Joe and Belle,5,5.6
Johnny English Reborn,6.2,6.2
Juan of the Dead,6.5,6.7
Jumping the Broom,5.1,6.1
Just Go with It,6.3,6.6
Kill List,6.3,5.8
Killer Elite,6.5,6.3
Kung Fu Panda 2,7.4,7.3
L'amour dure trois ans,6.1,6.2
L'art d'aimer,6.2,6.3
La Leyenda de la Llorona,5.8,6.4
Last Call at the Oasis,7.1,7.2
Last Call at the Oasis,7.1,7.2
Le Havre,7.2,7.3
Le Skylab,6.4,6.6
The Lie,5.2,5.3
Life Without Principle,6.9,7
Like Crazy,6.7,6.8
Limitless,7.4,7.4
The Lincoln Lawyer,7.3,7.4
Little Birds,6.1,6.3
The Little Engine That Could,5.3,6.5
Lloyd the Conqueror,5.5,7.5
The Loneliest Planet,5.5,5.4
Lovely Molly,5.3,5.1
Margaret,6.5,6.1
Margin Call,7.1,7
Mars Needs Moms,5.4,5.6
Martha Marcy May Marlene,7,6.9
Masks,5.8,6
Mean Girls 2,4,4.3
The Mechanic,6.5,6.6
Melancholia,7.1,7.2
Michael,7,7
Midnight in Paris,7.7,7.7
Mildred Pierce,7.6,7.8
Mission: Impossible - Ghost Protocol,7.4,7.4
Mitsuko Delivers,6.6,7.4
Moneyball,7.6,7.3
Monsieur Lahzar,7.5,7.6
Monte Carlo,5.2,6.1
Moon Point,4.5,5.3
The Moth Diaries,4.7,5.1
Mr. Popper's Penguins,5.9,6.3
The Muppets,7.2,7.3
My Piece of the Pie,5.7,6
My Week with Marilyn,7,7.1
New Year's Eve,5.3,6
Nicostratos le pelican,6.7,7.5
No Strings Attached,6.2,6.3
October Baby,6.2,7.2
Once upon a time in Anatolia,7.7,7.8
Once Upon a Warrior,5.8,7.6
Our Idiot Brother,6.5,6.5
Page One: Inside the New York Times,6.9,6.9
Parada,7.2,8.2
Paranormal Activity 3,5.9,5.9
Pariah,7,7.4
Paul,7,7.2
Peace Love & Misunderstanding,5.5,6.1
The Perfect Family,5.3,6
Perfect Sense,7.1,7.3
Phase 7,5.9,5.8
Pirates of the Caribbean: On Stranger Tides,6.6,7
Polisse,7.3,7.6
Priest,5.7,6
The Princess and the Pony,3.2,3.8
Puss in Boots,6.7,6.9
Quarantine 2: Terminal,5.2,5.5
The Raid: Redemption,7.6,7.4
Rango,7.4,7.1
Real Steel,7.1,7.4
Red Riding Hood,5.1,5.8
Red State,6.3,6.1
Restless,6.7,7
Rid of Me,6.2,6.7
Rio,6.9,7.3
Rise of the Planet of the Apes,7.6,7.5
The Rite,6,6
The Roommate,4.6,5.2
Ruggine,6.1,6.1
The Rum Diary,6.3,6.1
Rundskop,7.4,7.5
S.W.A.T.: Firefight,5.3,5.7
