M	CHARACTER	DIALOGUE
M	FINN	You are a drunk and a fool. My Queen has many powers; she can take life or sustain it. But she can't bring your wife back from the dead. His face tells us how much Eric wanted, needed to believe. Eric, still with a knife to Snow White's throat, starts Finn pulls his own sword and approaches. They all rush at once. Eric fights off the guards as he Right into Finn's chest. Just like Ravenna, no blood, no Snow White, terrified, races off into the forest. They Eric fights on three sides now - holding his own until Finn Eric grunts and falls back. Finn races forward to finish him Flips Finn onto his back and into a grove of mushrooms. Finn struggles to his knees, shakes his head, hallucinating a
M	FINN	Butcher him! Find her! The Guards, also trying to cover their noses, move forward. Bad odds. And he's injured. Eric decides in an instant, Eric. He slaps a palm over her mouth before she can scream
M	FINN	This is not finished! The words echo through the dark forest.
M	SNOW WHITE	Get your hands off me. She draws his dagger. He backs off. Eyeball to eyeball:
M	SNOW WHITE	Get away.
M	ERIC	Who are you? What the hell's going on?
M	SNOW WHITE	Get away from me.
M	ERIC	Why does the Queen want you dead?
M	SNOW WHITE	She wants us all dead. All of us-
M	ERIC	Then what makes you so damn valuable?
M	SNOW WHITE	You should know. You're the one hunting me. He backs away. Paces. Never get involved in the Queen's business and what do I do? Get involved in the Queen's business... Without warning, he walks off. Leaving her alone. She follows him.
M	SNOW WHITE	Where are you going?
M	ERIC	Away from you, love. You're trouble.
M	SNOW WHITE	I need to get to the Duke's Castle. There's an army there. I'll be safe.
M	ERIC	The Duke? I've seen sheep with more fight in them. Desperate, she takes a chance.
M	SNOW WHITE	Take me, you'll be rewarded. I'm valuable. Isn't that why you're here?
M	SNOW WHITE	You're dead if you return without me. And I'm dead if you leave me. He turns, exasperated with her.
M	ERIC	Just for argument's sake. How much?
M	SNOW WHITE	How much is enough? Eric "reluctantly" prices up the job.
M	ERIC	Well,it's a long way, through the forest, and that... that's a dangerous road, I couldn't even consider it for less than thirty gold pieces...
M	SNOW WHITE	A hundred. Deliver me safe to the Duke. I give you my word. Deep quandary. Still suspicious..
M	ERIC	Who are you? She looks at him levelly.
M	SNOW WHITE	Maybe that's a question you should have asked the queen. Stand-off.
M	SNOW WHITE	Do we have a deal?
M	ERIC	I don't trust you Billy Goat.
M	SNOW WHITE	I've given you my word. He spits on his hand. She puts out her hand.
M	ERIC	I still don't trust you.
M	SNOW WHITE	I don't trust you either. She wipes it on her skirt. Behind them, a commotion. Tree roots gleam with an eerie phosphorescent light. The mist He sits on a log for a breath.
M	ERIC	We'll stay the night here.
M	SNOW WHITE	You haven't answered me.
M	ERIC	I don't recall a question.
M	SNOW WHITE	Where are we going? He takes a stick, draws in the dirt.
M	ERIC	Queen. Mountains. Dark Forest. Here. Past. There's a village. She takes the stick, points to a different spot in the dirt.
M	SNOW WHITE	I'm going to the Duke's Castle. He grabs the stick back.
M	ERIC	You'll go where I take you.
M	SNOW WHITE	You'll take me to the Duke's castle or I'll go alone. As soon as you get me out of the forest.
M	ERIC	You're rather demanding, and not all that endearing, you know?
M	SNOW WHITE	There's a reward that awaits you. There are noblemen there, an army. An army? The Duke fights? He hides behind walls. I know sheep that have more fight in them. How much? Reward? Just for argument's sake?
M	SNOW WHITE	How much do you want? Eric considers this, not sure how or if to negotiate.
M	SNOW WHITE	Two hundred gold pieces. Do we have a deal? More, a lot more, than he was expecting.
M	ERIC	I'll deliver you to safety m' lady.
M	SNOW WHITE	Swear it.
M	ERIC	I swear (beat). Constantly. It's one of my better qualities. She's not sure what to make of this, but...
M	SNOW WHITE	Fine. He moves to a spot to lie down and gathers leaves.
M	ERIC	I've seen far stranger things in here. She sits, looks to Eric. Something's been bothering her.
M	SNOW WHITE	Do you think... will they follow us?
M	ERIC	They'd be foolish to. Few survive. Good news/bad news. She looks around.
M	SNOW WHITE	How far have you travelled into the Dark Forest?
M	ERIC	We passed it a few miles back. He opens his flask and takes a healthy pull.
M	THOMAS	She killed brave Lain with only her palm and pulled a dagger from her chest without blood. She cannot be killed. Duke Hammond has heard enough, turns to leave.
M	THOMAS	There is more. The princess has escaped the castle! Where is my son? William, rapid-fires his bow at close quarters into a line of
M	WILLIAM	You asked for me, father? 73a CONTINUED: 73a
M	DUKE HAMMOND	I have news of the Princess. William stares in surprise --
M	WILLIAM	The Princess?!!
M	DUKE HAMMOND	Ravenna has kept her all these years.
M	WILLIAM	She lives?!
M	DUKE HAMMOND	She escaped the castle and into the dark He turns to leave --
M	WILLIAM	I'm going after her!.
M	DUKE HAMMOND	We don't know if she survived -- Duke Hammond grabs him by the arm.
M	DUKE HAMMOND	You ventured beyond the walls tonight, disobeying my orders. We are all that's left, William. I cannot afford to lose any more of my men.
M	WILLIAM	Then I will go alone.
M	DUKE HAMMOND	And I cannot afford to lose my only heir! You do not know the dark forest!
M	WILLIAM	Then I'll find someone who does. William pulls away.
M	WILLIAM	I will not abandon her a second time. 75 MOVED TO 68a 75
M	FINN	Which of you knows the dark forest? A powerfully built Yakut tracker, ALDAN, and BROCH both nod.
M	FINN	You. You. You. You. He's selected Aldan, Broch and points to others. As we move William, hat low, trying to look tough.
M	FINN	Load and prepare. You ride for bounty. Into the dark forest. The rest of you. Away ! As they disperse.. William sets his jaw, and heads off.. The men ride out of the village. Suddenly they stop.
M	WILLIAM	You need a bowman? FINN calls back.
M	FINN	I have a bowman. Away. WILLIAM stands unblinking.
M	FINN	I said away, damn you! WILLIAM doesn't move. Finn turns to the bowman.
M	FINN	Kill him. The bowman smiles, draws his bow. BEFORE he can loose an arrow:
M	THWACK! THWACK!!	Two arrows strike the bowman in the throat, lifting him off FINN turns. WILLIAM lowers his bow.
M	WILLIAM	I said do you need a bowman? Finn studies William with dead eyes. 80aEXT. VILLAGE ROAD - DAY. 80a In the pouring rain, a group of fierce BOUNTY HUNTERS ride on
M	BROCH	Clear the road. But William doesn't budge. One of the other mercenaries grins, then rides towards
M	FINN	Wait! Finn sizes up William.
M	FINN	You're quick with a bow.
M	WILLIAM	I want to ride with you.
M	FINN	Why?
M	WILLIAM	You are paying well and I need the coin.
M	FINN	Have you traversed the Dark Forest?
M	WILLIAM	No.
M	FINN	Then what use are you?
M	WILLIAM	As you said, I'm quick with a bow. He nods to the guy on the ground, groaning with arrows in his
M	WILLIAM	And unlike him, I have two good legs. Finn considers for a moment, then smiles, nods to the guy on
M	FINN	Replace him. William looks at Finn gratefully. Finn studies him with a Snow White approaches a stream, kneels, splashes her face and
M	ERIC	I wouldn't do that if I were you. Not unless you want your bowels to rip apart. She turns. Eric has been snoozing on a rock, with one eye
M	SNOW WHITE	What is it?
M	ERIC	A fumee.
