M	CHARACTER	DIALOGUE
F	BLOMKVIST	I'm writing a biography of your uncle Henrik. That's why I'm here. She stares at him. He waits for the response Cecilia
F	ANITA	How is Henrik?
F	BLOMKVIST	Good. Engaging. I like him. Dragon Tattoo Final 9/1/11 SZ
F	ANITA	haven't seen him in over 30 years. my sister. Or anyone else in my BLOMKVIST of what I'm writing about that, so your recollections valid.
F	ANITA	wouldn't know where to start, if was a question.
F	BLOMKVIST	can narrow it. I've gotten up to 1960s. To the event that altered in Henrik's life. ANITA I knew about that I told - whatever his name was - that - when it happened. BLOMKVIST
F	ANITA	recollections then were a lot than they are now.
F	BLOMKVIST	not speaking of the crime itself. trying to get a clearer sense of Harriet was like. Particularly, the end.
F	ANITA	was messed up. Like all us kids. Crazy mother. Drunken At least hers wasn't a Nazi mine.
F	BLOMKVIST	he abusive?
F	ANITA	BLOMKVIST
F	ANITA	I never saw it myself, but you could tell something was going on. One day she'd be withdrawn. The next she'd be putting on makeup and wearing the tightest sweater she had to school. The next she'd be studying a Bible like a nun - no Vanger was ever religious - can you imagine? Obviously, she was very unhappy.
F	BLOMKVIST	She never confided in you what about, specifically? ANITA There was no specifically. It was everything. It was being part of that family. Henrik's the only decent person in it.
F	BLOMKVIST	What do you think happened to her?
F	ANITA	Everyone knows what. BLOMKVIST But you have no ... thoughts about why, or who. ANITA All I know is I always felt sorry for her. Even more than for myself. I got out of there when I was 18 and never went back. She would have done the same but didn't make it to 18.
F	SALANDER	Mr. Bjurman, please. It's Lisbeth Salander. ... I'm fine. I'm sorry I missed our appointment. I had a lot of work ... no, nothing to be concerned about ... I need another advance on my allowance. Can I come to your office tonight? ... I don't need a pen, what's the address?
M	BJURMAN O/S	Yes?
F	SALANDER	It's me.
M	BJURMAN	Come on in.
M	BJURMAN	Like it?
F	SALANDER	It's nice.
M	BJURMAN	It's home. So, what do you need money for this time? Grand Theft Auto 5?
F	SALANDER	Food. He smiles. Steps toward her. Lifts her chin.
M	BJURMAN	How are you? Been thinking about last time? Decided you wanted to see me again?
F	SALANDER	I just want my money.
M	BJURMAN	Well, let's see if I can help you out with that.
F	SALANDER	Wait.
M	BJURMAN	Is there a problem?
